product_key,product_name,category,subcategory,total_orders,total_revenue,total_quantity,total_customers,lifespan,product_segment,recency,avg_order_revenue,avg_monthly_revenue
160,"Touring-1000 Blue- 54",Bikes,"Touring Bikes",160,381440,160,160,11,"Mid Performer",149,2384.00,34676.36
164,"Touring-1000 Yellow- 54",Bikes,"Touring Bikes",158,376672,158,158,11,"Mid Performer",149,2384.00,34242.91
137,"Road-350-W Yellow- 44",Bikes,"Road Bikes",216,367416,216,216,11,"Mid Performer",149,1701.00,33401.45
163,"Touring-1000 Yellow- 50",Bikes,"Touring Bikes",151,359984,151,150,11,"Mid Performer",149,2384.00,32725.82
159,"Touring-1000 Blue- 50",Bikes,"Touring Bikes",150,357600,150,150,11,"Mid Performer",149,2384.00,32509.09
48,"Road-250 Red- 44",Bikes,"Road Bikes",144,351792,144,144,11,"Mid Performer",161,2443.00,31981.09
161,"Touring-1000 Blue- 60",Bikes,"Touring Bikes",147,350448,147,147,11,"Mid Performer",149,2384.00,31858.91
132,"Road-550-W Yellow- 42",Bikes,"Road Bikes",306,334440,306,303,23,"Mid Performer",149,1092.94,14540.87
165,"Touring-1000 Yellow- 60",Bikes,"Touring Bikes",140,333760,140,140,11,"Mid Performer",149,2384.00,30341.82
50,"Road-250 Red- 52",Bikes,"Road Bikes",133,324919,133,133,11,"Mid Performer",161,2443.00,29538.09
133,"Road-550-W Yellow- 44",Bikes,"Road Bikes",287,312200,287,286,23,"Mid Performer",149,1087.80,13573.91
130,"Road-550-W Yellow- 38",Bikes,"Road Bikes",270,293760,270,267,23,"Mid Performer",149,1088.00,12772.17
131,"Road-550-W Yellow- 40",Bikes,"Road Bikes",266,289880,266,264,23,"Mid Performer",149,1089.77,12603.48
134,"Road-550-W Yellow- 48",Bikes,"Road Bikes",261,283680,261,258,22,"Mid Performer",149,1086.90,12894.55
128,"Road-750 Black- 52",Bikes,"Road Bikes",386,208440,386,386,12,"Mid Performer",149,540.00,17370.00
5,"Mountain-100 Black- 44",Bikes,"Mountain Bikes",60,202500,60,60,11,"Mid Performer",173,3375.00,18409.09
7,"Mountain-100 Silver- 38",Bikes,"Mountain Bikes",58,197200,58,58,11,"Low Performer",173,3400.00,17927.27
127,"Road-750 Black- 48",Bikes,"Road Bikes",363,196020,363,363,11,"Low Performer",149,540.00,17820.00
126,"Road-750 Black- 44",Bikes,"Road Bikes",360,194400,360,360,11,"Low Performer",149,540.00,17672.73
6,"Mountain-100 Black- 48",Bikes,"Mountain Bikes",57,192375,57,57,11,"Low Performer",173,3375.00,17488.64
129,"Road-750 Black- 58",Bikes,"Road Bikes",334,180360,334,334,11,"Low Performer",149,540.00,16396.36
9,"Mountain-100 Silver- 44",Bikes,"Mountain Bikes",49,166600,49,49,11,"Low Performer",173,3400.00,15145.45
3,"Mountain-100 Black- 38",Bikes,"Mountain Bikes",49,165375,49,49,11,"Low Performer",173,3375.00,15034.09
4,"Mountain-100 Black- 42",Bikes,"Mountain Bikes",45,151875,45,45,11,"Low Performer",173,3375.00,13806.82
8,"Mountain-100 Silver- 42",Bikes,"Mountain Bikes",42,142800,42,42,11,"Low Performer",173,3400.00,12981.82
155,"Touring-2000 Blue- 50",Bikes,"Touring Bikes",106,128790,106,106,11,"Low Performer",149,1215.00,11708.18
10,"Mountain-100 Silver- 48",Bikes,"Mountain Bikes",36,122400,36,36,11,"Low Performer",173,3400.00,11127.27
154,"Touring-2000 Blue- 46",Bikes,"Touring Bikes",97,117855,97,97,11,"Low Performer",149,1215.00,10714.09
116,"Mountain-400-W Silver- 38",Bikes,"Mountain Bikes",148,113812,148,148,11,"Low Performer",149,769.00,10346.55
156,"Touring-2000 Blue- 54",Bikes,"Touring Bikes",88,106920,88,88,11,"Low Performer",149,1215.00,9720.00
119,"Mountain-400-W Silver- 46",Bikes,"Mountain Bikes",138,106122,138,138,11,"Low Performer",149,769.00,9647.45
118,"Mountain-400-W Silver- 42",Bikes,"Mountain Bikes",129,99201,129,129,11,"Low Performer",149,769.00,9018.27
117,"Mountain-400-W Silver- 40",Bikes,"Mountain Bikes",128,98432,128,128,11,"Low Performer",149,769.00,8948.36
157,"Touring-2000 Blue- 60",Bikes,"Touring Bikes",81,98415,81,81,11,"Low Performer",149,1215.00,8946.82
246,"Sport-100 Helmet- Red",Accessories,Helmets,2230,78050,2230,2147,13,"Low Performer",148,35.00,6003.85
245,"Sport-100 Helmet- Blue",Accessories,Helmets,2125,74410,2126,2050,13,"Low Performer",148,35.02,5723.85
244,"Sport-100 Helmet- Black",Accessories,Helmets,2085,72975,2085,2024,13,"Low Performer",148,35.00,5613.46
38,"Road-650 Black- 52",Bikes,"Road Bikes",89,66915,89,89,22,"Low Performer",161,751.85,3041.59
43,"Road-650 Red- 48",Bikes,"Road Bikes",88,66720,88,88,23,"Low Performer",161,758.18,2900.87
39,"Road-650 Black- 58",Bikes,"Road Bikes",76,57996,76,76,23,"Low Performer",161,763.11,2521.57
47,"Road-650 Red- 62",Bikes,"Road Bikes",75,57381,75,75,22,"Low Performer",161,765.08,2608.23
40,"Road-650 Black- 60",Bikes,"Road Bikes",76,57156,76,76,22,"Low Performer",161,752.05,2598.00
45,"Road-650 Red- 58",Bikes,"Road Bikes",74,56346,74,74,22,"Low Performer",161,761.43,2561.18
42,"Road-650 Red- 44",Bikes,"Road Bikes",72,54528,72,72,23,"Low Performer",161,757.33,2370.78
41,"Road-650 Black- 62",Bikes,"Road Bikes",65,49047,65,65,23,"Low Performer",161,754.57,2132.48
284,"HL Mountain Tire",Accessories,"Tires and Tubes",1396,48895,1397,1396,13,"Low Performer",148,35.03,3761.15
36,"Road-650 Black- 44",Bikes,"Road Bikes",63,47565,63,63,23,"Low Performer",161,755.00,2068.04
148,"Touring-3000 Blue- 62",Bikes,"Touring Bikes",64,47488,64,64,10,"Low Performer",149,742.00,4748.80
174,"Fender Set - Mountain",Accessories,Fenders,2121,46662,2121,2110,12,"Low Performer",148,22.00,3888.50
44,"Road-650 Red- 52",Bikes,"Road Bikes",61,46083,61,61,23,"Low Performer",161,755.46,2003.61
37,"Road-650 Black- 48",Bikes,"Road Bikes",60,45552,60,60,20,"Low Performer",161,759.20,2277.60
149,"Touring-3000 Yellow- 44",Bikes,"Touring Bikes",59,43778,59,59,10,"Low Performer",149,742.00,4377.80
150,"Touring-3000 Yellow- 50",Bikes,"Touring Bikes",59,43778,59,59,11,"Low Performer",149,742.00,3979.82
147,"Touring-3000 Blue- 58",Bikes,"Touring Bikes",57,42294,57,57,11,"Low Performer",149,742.00,3844.91
146,"Touring-3000 Blue- 54",Bikes,"Touring Bikes",55,40810,55,55,11,"Low Performer",149,742.00,3710.00
247,"Hydration Pack - 70 oz.",Accessories,"Hydration Packs",733,40315,733,719,12,"Low Performer",148,55.00,3359.58
46,"Road-650 Red- 60",Bikes,"Road Bikes",53,40071,53,53,22,"Low Performer",161,756.06,1821.41
281,"All-Purpose Bike Stand",Accessories,"Bike Stands",249,39591,249,243,13,"Low Performer",148,159.00,3045.46
260,"Hitch Rack - 4-Bike",Accessories,"Bike Racks",328,39360,328,325,12,"Low Performer",148,120.00,3280.00
144,"Touring-3000 Blue- 44",Bikes,"Touring Bikes",53,39326,53,53,11,"Low Performer",149,742.00,3575.09
153,"Touring-3000 Yellow- 62",Bikes,"Touring Bikes",50,37100,50,50,11,"Low Performer",149,742.00,3372.73
145,"Touring-3000 Blue- 50",Bikes,"Touring Bikes",48,35616,48,48,11,"Low Performer",149,742.00,3237.82
151,"Touring-3000 Yellow- 54",Bikes,"Touring Bikes",48,35616,48,48,10,"Low Performer",149,742.00,3561.60
152,"Touring-3000 Yellow- 58",Bikes,"Touring Bikes",47,34874,47,47,11,"Low Performer",149,742.00,3170.36
283,"ML Mountain Tire",Accessories,"Tires and Tubes",1161,34830,1161,1161,12,"Low Performer",148,30.00,2902.50
108,"Mountain-500 Black- 44",Bikes,"Mountain Bikes",58,31320,58,58,11,"Low Performer",149,540.00,2847.27
109,"Mountain-500 Black- 48",Bikes,"Mountain Bikes",56,30240,56,56,11,"Low Performer",149,540.00,2749.09
287,"HL Road Tire",Accessories,"Tires and Tubes",858,28314,858,820,13,"Low Performer",148,33.00,2178.00
114,"Mountain-500 Silver- 48",Bikes,"Mountain Bikes",50,28250,50,50,11,"Low Performer",149,565.00,2568.18
115,"Mountain-500 Silver- 52",Bikes,"Mountain Bikes",48,27120,48,48,11,"Low Performer",149,565.00,2465.45
288,"Touring Tire",Accessories,"Tires and Tubes",935,27115,935,920,12,"Low Performer",148,29.00,2259.58
107,"Mountain-500 Black- 42",Bikes,"Mountain Bikes",49,26460,49,49,11,"Low Performer",149,540.00,2405.45
106,"Mountain-500 Black- 40",Bikes,"Mountain Bikes",48,25920,48,48,11,"Low Performer",149,540.00,2356.36
111,"Mountain-500 Silver- 40",Bikes,"Mountain Bikes",45,25425,45,45,11,"Low Performer",149,565.00,2311.36
112,"Mountain-500 Silver- 42",Bikes,"Mountain Bikes",45,25425,45,45,11,"Low Performer",149,565.00,2311.36
272,"Women's Mountain Shorts- L",Clothing,Shorts,363,25410,363,363,12,"Low Performer",148,70.00,2117.50
273,"Women's Mountain Shorts- M",Clothing,Shorts,352,24640,352,352,12,"Low Performer",148,70.00,2053.33
286,"ML Road Tire",Accessories,"Tires and Tubes",926,23150,926,891,12,"Low Performer",148,25.00,1929.17
248,"Long-Sleeve Logo Jersey- L",Clothing,Jerseys,452,22650,453,449,13,"Low Performer",148,50.11,1742.31
110,"Mountain-500 Black- 52",Bikes,"Mountain Bikes",41,22140,41,41,11,"Low Performer",149,540.00,2012.73
249,"Long-Sleeve Logo Jersey- M",Clothing,Jerseys,442,22100,442,436,13,"Low Performer",148,50.00,1700.00
278,"Short-Sleeve Classic Jersey- XL",Clothing,Jerseys,409,22086,409,405,12,"Low Performer",148,54.00,1840.50
113,"Mountain-500 Silver- 44",Bikes,"Mountain Bikes",39,22035,39,39,11,"Low Performer",149,565.00,2003.18
276,"Short-Sleeve Classic Jersey- M",Clothing,Jerseys,407,21978,407,404,12,"Low Performer",148,54.00,1831.50
277,"Short-Sleeve Classic Jersey- S",Clothing,Jerseys,406,21924,406,402,12,"Low Performer",148,54.00,1827.00
285,"LL Road Tire",Accessories,"Tires and Tubes",1044,21924,1044,1030,13,"Low Performer",148,21.00,1686.46
282,"LL Mountain Tire",Accessories,"Tires and Tubes",862,21600,864,830,12,"Low Performer",148,25.06,1800.00
250,"Long-Sleeve Logo Jersey- S",Clothing,Jerseys,429,21450,429,426,12,"Low Performer",148,50.00,1787.50
274,"Women's Mountain Shorts- S",Clothing,Shorts,304,21280,304,304,12,"Low Performer",148,70.00,1773.33
295,"Water Bottle - 30 oz.",Accessories,"Bottles and Cages",4244,21245,4249,4073,13,"Low Performer",148,5.01,1634.23
251,"Long-Sleeve Logo Jersey- XL",Clothing,Jerseys,413,20700,414,409,12,"Low Performer",148,50.12,1725.00
104,"Mountain Bottle Cage",Accessories,"Bottles and Cages",2025,20340,2034,2004,13,"Low Performer",148,10.04,1564.62
275,"Short-Sleeve Classic Jersey- L",Clothing,Jerseys,374,20196,374,372,12,"Low Performer",148,54.00,1683.00
166,"AWC Logo Cap",Clothing,Caps,2190,19710,2190,2132,12,"Low Performer",148,9.00,1642.50
289,"Mountain Tire Tube",Accessories,"Tires and Tubes",3095,15480,3096,2960,13,"Low Performer",148,5.00,1190.77
105,"Road Bottle Cage",Accessories,"Bottles and Cages",1712,15408,1712,1700,12,"Low Performer",148,9.00,1284.00
293,"Classic Vest- M",Clothing,Vests,199,12736,199,199,12,"Low Performer",148,64.00,1061.33
292,"Classic Vest- L",Clothing,Vests,195,12480,195,195,12,"Low Performer",148,64.00,1040.00
234,"Half-Finger Gloves- M",Clothing,Gloves,499,11976,499,488,12,"Low Performer",148,24.00,998.00
235,"Half-Finger Gloves- S",Clothing,Gloves,488,11712,488,479,12,"Low Performer",148,24.00,976.00
294,"Classic Vest- S",Clothing,Vests,168,10944,171,168,12,"Low Performer",148,65.14,912.00
233,"Half-Finger Gloves- L",Clothing,Gloves,443,10632,443,437,12,"Low Performer",148,24.00,886.00
290,"Road Tire Tube",Accessories,"Tires and Tubes",2376,9504,2376,2226,13,"Low Performer",148,4.00,731.08
291,"Touring Tire Tube",Accessories,"Tires and Tubes",1488,7440,1488,1411,13,"Low Performer",148,5.00,572.31
168,"Bike Wash - Dissolver",Accessories,Cleaners,908,7272,909,875,12,"Low Performer",148,8.01,606.00
259,"Patch Kit/8 Patches",Accessories,"Tires and Tubes",3191,6382,3191,2950,12,"Low Performer",148,2.00,531.83
280,"Racing Socks- M",Clothing,Socks,298,2682,298,295,12,"Low Performer",148,9.00,223.50
279,"Racing Socks- L",Clothing,Socks,270,2430,270,269,12,"Low Performer",148,9.00,202.50
